,equity
2005-05-02,50000.0
2005-05-03,50000.0
2005-05-04,50000.0
2005-05-05,50000.0
2005-05-06,50000.0
2005-05-09,50000.0
2005-05-10,50000.0
2005-05-11,50000.0
2005-05-12,50000.0
2005-05-13,50000.0
2005-05-16,50000.0
2005-05-17,50000.0
2005-05-18,50000.0
2005-05-19,50000.0
2005-05-20,50000.0
2005-05-23,50000.0
2005-05-24,50000.0
2005-05-25,50000.0
2005-05-26,50000.0
2005-05-27,50000.0
2005-05-31,50000.0
2005-06-01,50000.0
2005-06-02,50000.0
2005-06-03,50000.0
2005-06-06,50000.0
2005-06-07,50000.0
2005-06-08,50000.0
2005-06-09,50000.0
2005-06-10,50000.0
2005-06-13,50000.0
2005-06-14,50000.0
2005-06-15,50000.0
2005-06-16,50000.0
2005-06-17,50000.0
2005-06-20,50000.0
2005-06-21,50000.0
2005-06-22,50000.0
2005-06-23,50000.0
2005-06-24,50000.0
2005-06-27,50000.0
2005-06-28,50000.0
2005-06-29,50000.0
2005-06-30,50000.0
2005-07-01,50000.0
2005-07-05,50000.0
2005-07-06,50000.0
2005-07-07,50000.0
2005-07-08,50000.0
2005-07-11,50000.0
2005-07-12,50000.0
2005-07-13,50000.0
2005-07-14,50000.0
2005-07-15,50000.0
2005-07-18,50000.0
2005-07-19,50000.0
2005-07-20,50000.0
2005-07-21,50000.0
2005-07-22,50000.0
2005-07-25,50000.0
2005-07-26,50000.0
2005-07-27,50000.0
2005-07-28,50000.0
2005-07-29,50000.0
2005-08-01,50000.0
2005-08-02,50000.0
2005-08-03,50000.0
2005-08-04,50000.0
2005-08-05,50000.0
2005-08-08,50000.0
2005-08-09,50000.0
2005-08-10,50000.0
2005-08-11,50000.0
2005-08-12,50000.0
2005-08-15,50000.0
2005-08-16,50000.0
2005-08-17,50000.0
2005-08-18,50000.0
2005-08-19,50000.0
2005-08-22,50000.0
2005-08-23,50000.0
2005-08-24,50000.0
2005-08-25,50000.0
2005-08-26,50000.0
2005-08-29,50000.0
2005-08-30,50000.0
2005-08-31,50000.0
2005-09-01,50000.0
2005-09-02,50000.0
2005-09-06,50000.0
2005-09-07,50000.0
2005-09-08,50000.0
2005-09-09,50000.0
2005-09-12,50000.0
2005-09-13,50000.0
2005-09-14,50000.0
2005-09-15,50000.0
2005-09-16,50000.0
2005-09-19,50000.0
2005-09-20,50000.0
2005-09-21,50000.0
2005-09-22,50000.0
2005-09-23,50000.0
2005-09-26,50000.0
2005-09-27,50000.0
2005-09-28,50000.0
2005-09-29,50000.0
2005-09-30,50000.0
2005-10-03,50000.0
2005-10-04,50000.0
2005-10-05,50000.0
2005-10-06,50000.0
2005-10-07,50000.0
2005-10-10,50000.0
2005-10-11,50000.0
2005-10-12,50000.0
2005-10-13,50000.0
2005-10-14,50000.0
2005-10-17,50000.0
2005-10-18,50000.0
2005-10-19,50000.0
2005-10-20,50000.0
2005-10-21,50000.0
2005-10-24,50000.0
2005-10-25,50000.0
2005-10-26,50000.0
2005-10-27,50000.0
2005-10-28,50000.0
2005-10-31,50000.0
2005-11-01,50000.0
2005-11-02,50000.0
2005-11-03,50000.0
2005-11-04,50000.0
2005-11-07,50000.0
2005-11-08,50000.0
2005-11-09,50000.0
2005-11-10,50000.0
2005-11-11,50000.0
2005-11-14,50000.0
2005-11-15,50000.0
2005-11-16,50000.0
2005-11-17,50000.0
2005-11-18,50000.0
2005-11-21,50000.0
2005-11-22,50000.0
2005-11-23,50000.0
2005-11-25,50000.0
2005-11-28,50000.0
2005-11-29,50000.0
2005-11-30,50000.0
2005-12-01,50000.0
2005-12-02,50000.0
2005-12-05,50000.0
2005-12-06,50000.0
2005-12-07,50000.0
2005-12-08,50000.0
2005-12-09,50000.0
2005-12-12,50000.0
2005-12-13,50000.0
2005-12-14,50000.0
2005-12-15,50000.0
2005-12-16,50000.0
2005-12-19,50000.0
2005-12-20,50000.0
2005-12-21,50000.0
2005-12-22,50000.0
2005-12-23,50000.0
2005-12-27,50000.0
2005-12-28,50000.0
2005-12-29,50000.0
2005-12-30,50000.0
2006-01-03,50000.0
2006-01-04,50000.0
2006-01-05,50000.0
2006-01-06,50000.0
2006-01-09,50000.0
2006-01-10,50000.0
2006-01-11,50000.0
2006-01-12,50000.0
2006-01-13,50000.0
2006-01-17,50000.0
2006-01-18,50000.0
2006-01-19,50000.0
2006-01-20,50000.0
2006-01-23,50000.0
2006-01-24,50000.0
2006-01-25,50000.0
2006-01-26,50000.0
2006-01-27,50000.0
2006-01-30,50000.0
2006-01-31,50000.0
2006-02-01,47168.14752582677
2006-02-02,46296.206714664564
2006-02-03,41728.16571335077
2006-02-06,38820.93320381556
2006-02-07,36575.342202525346
2006-02-08,35641.26007323829
2006-02-09,36935.10772851125
2006-02-10,37545.40088441098
2006-02-13,36760.45791862354
2006-02-14,37189.23301368493
2006-02-15,37178.44004790536
2006-02-16,36709.76368541644
2006-02-17,35270.701581472815
2006-02-21,33239.33459792875
2006-02-22,33933.355003512464
2006-02-23,33079.40246864956
2006-02-24,34503.74689198467
2006-02-27,34325.826486406186
2006-02-28,32828.547779166656
2006-03-01,33392.01507992075
2006-03-02,33308.806089015794
2006-03-03,33172.64592208044
2006-03-06,32877.63222705384
2006-03-07,30025.83317512994
2006-03-08,30502.393759403698
2006-03-09,28762.569404118563
2006-03-10,28172.542014065348
2006-03-13,28006.124032255462
2006-03-14,28361.653357031122
2006-03-15,29730.81948010333
2006-03-16,29904.801915631848
2006-03-17,30714.198463525365
2006-03-20,30434.313675936013
2006-03-21,28739.876042962675
2006-03-22,28664.231505776363
2006-03-23,27302.629836422777
2006-03-24,27605.20798516802
2006-03-27,26931.971604209863
2006-03-28,26447.84656621748
2006-03-29,27181.598576924684
2006-03-30,26742.860261244088
2006-03-31,27711.110337228856
2006-04-03,27151.34076205016
