,equity
2005-05-02,50000.0
2005-05-03,49994.45395974871
2005-05-04,49988.90853466867
2005-05-05,49983.36372469164
2005-05-06,49977.819529749395
2005-05-09,49972.27594977372
2005-05-10,49966.7329846964
2005-05-11,49961.19063444922
2005-05-12,49955.648898964
2005-05-13,49950.10777817254
2005-05-16,49944.56727200666
2005-05-17,49939.027380398176
2005-05-18,49933.488103278934
2005-05-19,49927.94944058077
2005-05-20,49922.41139223553
2005-05-23,49916.87395817507
2005-05-24,49911.337138331255
2005-05-25,49905.80093263595
2005-05-26,49900.26534102105
2005-05-27,49894.73036341842
2005-05-31,49889.19599975996
2005-06-01,49883.66224997758
2005-06-02,49878.129114003175
2005-06-03,49872.59659176867
2005-06-06,49867.06468320598
2005-06-07,49861.533388247044
2005-06-08,49856.0027068238
2005-06-09,49850.47263886819
2005-06-10,49844.943184312164
2005-06-13,49839.414343087694
2005-06-14,49833.88611512674
2005-06-15,49828.35850036128
2005-06-16,49822.83149872331
2005-06-17,49817.30511014481
2005-06-20,49811.779334557774
2005-06-21,49806.254171894216
2005-06-22,49800.729622086146
2005-06-23,49795.20568506559
2005-06-24,49789.68236076458
2005-06-27,49784.15964911514
2005-06-28,49778.63755004933
2005-06-29,49773.11606349919
2005-06-30,49767.59518939678
2005-07-01,49762.07492767417
2005-07-05,49756.55527826343
2005-07-06,49751.036241096655
2005-07-07,49745.51781610592
2005-07-08,49740.00000322334
2005-07-11,49734.482802381
2005-07-12,49728.96621351101
2005-07-13,49723.450236545505
2005-07-14,49717.934871416604
2005-07-15,49712.42011805644
2005-07-18,49706.90597639717
2005-07-19,49701.39244637092
2005-07-20,49695.87952790986
2005-07-21,49690.36722094616
2005-07-22,49684.85552541198
2005-07-25,49679.344441239504
2005-07-26,49673.83396836092
2005-07-27,49668.32410670843
2005-07-28,49662.81485621423
2005-07-29,49657.30621681053
2005-08-01,49651.79818842955
2005-08-02,49646.29077100351
2005-08-03,49640.78396446464
2005-08-04,49635.27776874518
2005-08-05,49629.77218377739
2005-08-08,49624.26720949352
2005-08-09,49618.762845825826
2005-08-10,49613.25909270658
2005-08-11,49607.755950068065
2005-08-12,49602.253417842556
2005-08-15,49596.75149596235
2005-08-16,49591.25018435975
2005-08-17,49585.74948296706
2005-08-18,49580.2493917166
2005-08-19,49574.74991054069
2005-08-22,49569.25103937166
2005-08-23,49563.75277814185
2005-08-24,49558.255126783595
2005-08-25,49552.75808522926
2005-08-26,49547.261653411195
2005-08-29,49541.76583126177
2005-08-30,49536.270618713366
2005-08-31,49530.776015698364
2005-09-01,49525.28202214915
2005-09-02,49519.78863799812
2005-09-06,49514.295863177686
2005-09-07,49508.80369762026
2005-09-08,49503.31214125825
2005-09-09,49497.821194024094
2005-09-12,49492.330855850225
2005-09-13,49486.84112666909
2005-09-14,49481.35200641313
2005-09-15,49475.86349501481
2005-09-16,49470.3755924066
2005-09-19,49464.88829852096
2005-09-20,49459.40161329037
2005-09-21,49453.91553664733
2005-09-22,49448.43006852432
2005-09-23,49442.94520885386
2005-09-26,49437.460957568444
2005-09-27,49431.9773146006
2005-09-28,49426.49427988284
2005-09-29,49421.011853347714
2005-09-30,49415.53003492775
2005-10-03,49410.0488245555
2005-10-04,49404.568222163514
2005-10-05,49399.088227684355
2005-10-06,49393.6088410506
2005-10-07,49388.13006219482
2005-10-10,49382.6518910496
2005-10-11,49377.17432754754
2005-10-12,49371.69737162122
2005-10-13,49366.221023203274
2005-10-14,49360.7452822263
2005-10-17,49355.27014862292
2005-10-18,49349.795622325764
2005-10-19,49344.32170326747
2005-10-20,49338.84839138069
2005-10-21,49333.375686598076
2005-10-24,49327.90358885228
2005-10-25,49322.432098075966
2005-10-26,49316.961214201816
2005-10-27,49311.49093716251
2005-10-28,49306.02126689073
2005-10-31,49300.55220331919
2005-11-01,49295.08374638058
2005-11-02,49289.61589600761
2005-11-03,49284.148652133015
2005-11-04,49278.682014689504
2005-11-07,49273.21598360982
2005-11-08,49267.75055882671
2005-11-09,49262.28574027291
2005-11-10,49256.82152788119
2005-11-11,49251.357921584306
2005-11-14,49245.894921315026
2005-11-15,49240.43252700614
2005-11-16,49234.970738590426
2005-11-17,49229.50955600068
2005-11-18,49224.048979169704
2005-11-21,49218.5890080303
2005-11-22,49213.12964251529
2005-11-23,49207.670882557504
2005-11-25,49202.21272808976
2005-11-28,49196.75517904491
2005-11-29,49191.29823535579
2005-11-30,49185.84189695526
2005-12-01,49180.38616377617
2005-12-02,49174.931035751404
2005-12-05,49169.47651281383
2005-12-06,49164.022594896334
2005-12-07,49158.5692819318
2005-12-08,49153.11657385313
2005-12-09,49147.66447059323
2005-12-12,49142.212972085006
2005-12-13,49136.76207826139
2005-12-14,49131.311789055304
2005-12-15,49125.86210439969
2005-12-16,49120.413024227484
2005-12-19,49114.96454847164
2005-12-20,49109.516677065105
2005-12-21,49104.06940994086
2005-12-22,49098.62274703186
2005-12-23,49093.1766882711
2005-12-27,49087.73123359156
2005-12-28,49082.28638292624
2005-12-29,49076.84213620814
2005-12-30,49071.39849337027
2006-01-03,49065.95545434564
2006-01-04,49060.51301906728
2006-01-05,49055.071187468224
2006-01-06,49049.629959481514
2006-01-09,51196.54449995644
2006-01-10,62405.001523773935
2006-01-11,60576.524319856966
2006-01-12,66772.43945311922
2006-01-13,61927.06232575034
2006-01-17,66749.48803739992
2006-01-18,63048.14800832419
2006-01-19,68644.34782692525
2006-01-20,62453.95290886015
2006-01-23,64101.03847155286
2006-01-24,69154.88838928314
2006-01-25,67162.98160018244
2006-01-26,68966.41371543883
2006-01-27,70950.53560955403
2006-01-30,66140.6654489016
2006-01-31,69352.05485228008
2006-02-01,70514.6066128704
2006-02-02,67026.97223838918
2006-02-03,65204.21095754231
2006-02-06,64409.28654505616
2006-02-07,70264.15631762943
2006-02-08,72743.2655084128
2006-02-09,71158.26123938344
2006-02-10,69632.09863022687
2006-02-13,65500.034199663765
2006-02-14,70042.06136944439
2006-02-15,71465.86456090637
2006-02-16,73256.31740547428
2006-02-17,74084.30292243771
2006-02-21,73191.21805287577
2006-02-22,76426.28978989743
2006-02-23,84037.95213078844
2006-02-24,87754.1882320289
2006-02-27,90062.04885136748
2006-02-28,87841.83169979406
2006-03-01,89789.78218381296
2006-03-02,89537.90010509863
2006-03-03,89127.67577158577
2006-03-06,88243.29452304487
2006-03-07,79756.60100799838
2006-03-08,80977.8045992073
2006-03-09,76526.04961591764
2006-03-10,75088.47460923591
2006-03-13,74682.18221381336
2006-03-14,75562.38329247353
2006-03-15,78948.95774458538
2006-03-16,79369.77394770863
2006-03-17,81341.17198170914
2006-03-20,80661.90368200358
2006-03-21,76528.63766127161
2006-03-22,76349.2737910803
2006-03-23,73064.88943134117
2006-03-24,73777.43391932522
2006-03-27,72174.70721531667
2006-03-28,71024.90667607095
2006-03-29,72767.50716531415
2006-03-30,71735.58307262926
2006-03-31,74040.72750234303
2006-04-03,72723.00654517356
2006-04-04,73665.08661595937
2006-04-05,73718.67537718873
2006-04-06,69005.3371092229
2006-04-07,66499.11945900321
2006-04-10,68948.60724200423
2006-04-11,67215.06704993245
2006-04-12,71338.48478579508
2006-04-13,72339.96657366405
2006-04-17,71875.06765667628
2006-04-18,74844.19543266542
2006-04-19,78372.36035836705
2006-04-20,78005.82795450714
2006-04-21,77868.20540720497
2006-04-24,78084.36010559194
2006-04-25,78048.67738545666
2006-04-26,76802.59537600241
2006-04-27,78357.1162524001
2006-04-28,77478.31631305255
2006-05-01,80338.99421229788
2006-05-02,78970.4796457469
2006-05-03,79289.19565060468
2006-05-04,77997.224580323
2006-05-05,80358.54472247248
2006-05-08,82006.9196215285
2006-05-09,82737.18707823083
2006-05-10,81854.70425776971
2006-05-11,79544.01495927645
2006-05-12,78624.97597685145
2006-05-15,74683.54778348381
2006-05-16,74866.42627281204
2006-05-17,73809.75662286213
2006-05-18,74896.16744283041
2006-05-19,78119.15746321193
2006-05-22,72711.2513371647
2006-05-23,72035.57759068448
2006-05-24,68809.66741445847
2006-05-25,74242.71222044881
2006-05-26,73094.82893621661
2006-05-30,71375.08649259791
2006-05-31,72426.01161386991
2006-06-01,73861.83715204726
2006-06-02,72515.18388746901
2006-06-05,70510.27794743491
2006-06-06,69670.02642182093
2006-06-07,69944.94651041339
2006-06-08,69045.29804966557
2006-06-09,68439.66776174158
2006-06-12,66464.02550246492
2006-06-13,64564.527956938444
2006-06-14,64503.055373075884
2006-06-15,69279.35662247404
2006-06-16,69677.72130124977
2006-06-19,69631.19584429814
2006-06-20,68599.13488077688
2006-06-21,69607.87100591516
2006-06-22,71972.9138188752
2006-06-23,72349.60033449448
2006-06-26,72349.60033449448
2006-06-27,70851.86941861601
2006-06-28,71703.54496955009
2006-06-29,71192.7204038156
2006-06-30,72385.37293503403
2006-07-03,74481.39858628159
2006-07-05,78217.13756945154
2006-07-06,76985.04756340642
2006-07-07,75688.87082642238
2006-07-10,74967.40844880635
2006-07-11,74266.71280712342
2006-07-12,75846.29983474445
2006-07-13,72779.09940170367
2006-07-14,70798.71286536992
2006-07-17,71176.93936426613
2006-07-18,71413.08331020162
2006-07-19,71282.88387128974
2006-07-20,69800.47726977713
2006-07-21,68875.76213903769
2006-07-24,69334.54581425076
2006-07-25,69551.2194481732
2006-07-26,69430.46518941238
2006-07-27,68966.25590545862
2006-07-28,71845.32332843875
2006-07-31,72957.20901566102
2006-08-01,70452.48709207062
2006-08-02,70849.37555060952
2006-08-03,69382.17800223855
2006-08-04,66548.41885288911
2006-08-07,65033.7368555814
2006-08-08,65290.98971654921
2006-08-09,63888.7185249068
2006-08-10,63827.77209409135
2006-08-11,62498.000714161855
2006-08-14,64015.25795920472
2006-08-15,68973.38182486959
2006-08-16,70258.97001399317
2006-08-17,70760.44512205584
2006-08-18,71345.03618516045
2006-08-21,71142.41565134135
2006-08-22,70578.01737892897
2006-08-23,68818.22730678626
2006-08-24,66899.48001712344
2006-08-25,67603.23293790747
2006-08-28,69686.18217323106
2006-08-29,69849.20376865614
2006-08-30,69453.41065077306
2006-08-31,70222.4636383764
2006-09-01,73276.88697501234
2006-09-05,74111.42141198831
2006-09-06,70501.57153502315
2006-09-07,70475.9147462509
2006-09-08,74317.23355901116
2006-09-11,79106.178095692
2006-09-12,78918.3053160946
2006-09-13,80865.22663112359
2006-09-14,84590.00060165109
2006-09-15,87419.99431157255
2006-09-18,85815.88761248866
2006-09-19,83734.88252821015
2006-09-20,85233.03640998433
2006-09-21,85208.21795657747
2006-09-22,85269.85642672218
2006-09-25,91316.32939590549
2006-09-26,92034.30137921078
2006-09-27,89781.9212917895
2006-09-28,93551.66178580624
2006-09-29,93386.18813645054
2006-10-02,91428.10334492626
2006-10-03,93494.58428936514
2006-10-04,94450.99078148887
2006-10-05,92509.55859505336
2006-10-06,93740.753752135
2006-10-09,90713.93114236707
2006-10-10,90480.46865682297
2006-10-11,91586.33240175956
2006-10-12,90923.45622472288
2006-10-13,92046.18088951641
2006-10-16,91970.29899809437
2006-10-17,88057.1222621587
2006-10-18,81634.2622464494
2006-10-19,81955.7529400966
2006-10-20,81750.3433716987
2006-10-23,84102.73946610572
2006-10-24,88701.94062765318
2006-10-25,87485.49851060785
2006-10-26,89149.29667366736
2006-10-27,82308.03139648012
2006-10-30,81137.74752869703
