,equity
2005-05-02,50000.0
2005-05-03,49995.39974406195
2005-05-04,49990.799911370996
2005-05-05,49986.2005018882
2005-05-06,49981.60151557461
2005-05-09,49977.00295239131
2005-05-10,49972.40481229936
2005-05-11,49967.807095259835
2005-05-12,49963.20980123381
2005-05-13,49958.61293018237
2005-05-16,49954.016482066596
2005-05-17,49949.420456847576
2005-05-18,49944.8248544864
2005-05-19,49940.229674944174
2005-05-20,49935.63491818198
2005-05-23,49931.04058416093
2005-05-24,49926.446672842125
2005-05-25,49921.85318418668
2005-05-26,49917.260118155704
2005-05-27,49912.66747471031
2005-05-31,49908.07525381162
2005-06-01,49903.48345542076
2005-06-02,49898.89207949886
2005-06-03,49894.30112600704
2005-06-06,49889.71059490645
2005-06-07,49885.120486158215
2005-06-08,49880.530799723485
2005-06-09,49875.9415355634
2005-06-10,49871.352693639106
2005-06-13,49866.76427391176
2005-06-14,49862.176276342514
2005-06-15,49857.58870089253
2005-06-16,49853.00154752297
2005-06-17,49848.414816195
2005-06-20,49843.82850686979
2005-06-21,49839.24261950851
2005-06-22,49834.65715407235
2005-06-23,49830.07211052248
2005-06-24,49825.48748882009
2005-06-27,49820.903288926354
2005-06-28,49816.31951080248
2005-06-29,49811.73615440966
2005-06-30,49807.15321970908
2005-07-01,49802.57070666195
2005-07-05,49797.988615229486
2005-07-06,49793.40694537289
2005-07-07,49788.82569705337
2005-07-08,49784.24487023214
2005-07-11,49779.66446487043
2005-07-12,49775.08448092946
2005-07-13,49770.504918370454
2005-07-14,49765.92577715465
2005-07-15,49761.34705724327
2005-07-18,49756.768758597565
2005-07-19,49752.19088117877
2005-07-20,49747.61342494813
2005-07-21,49743.036389866895
2005-07-22,49738.459775896314
2005-07-25,49733.883582997645
2005-07-26,49729.307811132145
2005-07-27,49724.73246026108
2005-07-28,49720.15753034572
2005-07-29,49715.58302134733
2005-08-01,49711.00893322718
2005-08-02,49706.43526594655
2005-08-03,49701.862019466724
2005-08-04,49697.289193748984
2005-08-05,49692.71678875462
2005-08-08,49688.14480444491
2005-08-09,49683.57324078117
2005-08-10,49679.00209772468
2005-08-11,49674.43137523675
2005-08-12,49669.86107327869
2005-08-15,49665.291191811804
2005-08-16,49660.721730797406
2005-08-17,49656.15269019681
2005-08-18,49651.58406997134
2005-08-19,49647.01587008231
2005-08-22,49642.44809049105
2005-08-23,49637.880731158904
2005-08-24,49633.31379204719
2005-08-25,49628.74727311725
2005-08-26,49624.181174330435
2005-08-29,49619.615495648075
2005-08-30,49615.05023703152
2005-08-31,49610.485398442135
2005-09-01,49605.92097984126
2005-09-02,49601.35698119026
2005-09-06,49596.7934024505
2005-09-07,49592.23024358335
2005-09-08,49587.66750455017
2005-09-09,49583.105185312335
2005-09-12,49578.54328583123
2005-09-13,49573.981806068216
2005-09-14,49569.420745984695
2005-09-15,49564.86010554205
2005-09-16,49560.29988470167
2005-09-19,49555.74008342495
2005-09-20,49551.180701673286
2005-09-21,49546.62173940808
2005-09-22,49542.063196590745
2005-09-23,49537.50507318268
2005-09-26,49532.947369145295
2005-09-27,49528.39008444002
2005-09-28,49523.83321902826
2005-09-29,49519.276772871446
2005-09-30,49514.720745931
2005-10-03,49510.165138168355
2005-10-04,49505.609949544945
2005-10-05,49501.0551800222
2005-10-06,49496.50082956157
2005-10-07,49491.94689812449
2005-10-10,49487.39338567242
2005-10-11,49482.8402921668
2005-10-12,49478.28761756909
2005-10-13,49473.73536184075
2005-10-14,49469.18352494323
2005-10-17,49464.63210683801
2005-10-18,49460.081107486556
2005-10-19,49455.530526850336
2005-10-20,49450.98036489083
2005-10-21,49446.43062156951
2005-10-24,49441.88129684787
2005-10-25,49437.332390687385
2005-10-26,49432.78390304955
2005-10-27,49428.235833895866
2005-10-28,49423.68818318783
2005-10-31,49419.140950886926
2005-11-01,49414.59413695468
2005-11-02,49410.04774135258
2005-11-03,49405.50176404215
2005-11-04,49400.956204984905
2005-11-07,49396.41106414236
2005-11-08,49391.86634147604
2005-11-09,49387.322036947466
2005-11-10,49382.77815051817
2005-11-11,49378.23468214968
2005-11-14,49373.691631803544
2005-11-15,49369.14899944129
2005-11-16,49364.60678502447
2005-11-17,49360.06498851463
2005-11-18,49355.52360987331
2005-11-21,49350.98264906207
2005-11-22,49346.44210604247
2005-11-23,49341.90198077608
2005-11-25,49337.36227322445
2005-11-28,49332.82298334915
2005-11-29,49328.28411111175
2005-11-30,49323.74565647384
2005-12-01,49319.20761939698
2005-12-02,49314.66999984276
2005-12-05,49310.13279777276
2005-12-06,49305.596013148584
2005-12-07,49301.05964593182
2005-12-08,49296.523696084056
2005-12-09,49291.98816356689
2005-12-12,49287.453048341944
2005-12-13,49282.918350370805
2005-12-14,49278.384069615095
2005-12-15,49273.85020603642
2005-12-16,49269.316759596404
2005-12-19,49264.78373025667
2005-12-20,49260.251117978834
2005-12-21,49255.71892272453
2005-12-22,49251.18714445539
2005-12-23,49246.65578313305
2005-12-27,49242.124838719144
2005-12-28,49237.594311175315
2005-12-29,49233.06420046321
2005-12-30,49228.53450654448
2006-01-03,49224.005229380775
2006-01-04,49219.476368933756
2006-01-05,49214.94792516508
2006-01-06,49210.41989803641
2006-01-09,51241.21480466347
2006-01-10,60566.76053648792
2006-01-11,59175.73008604374
2006-01-12,63932.52602409029
2006-01-13,60291.59903353956
2006-01-17,63982.14783550237
2006-01-18,61198.46728222428
2006-01-19,65467.89583915799
2006-01-20,60833.73111036115
2006-01-23,62096.71572889126
2006-01-24,65945.03330922106
2006-01-25,64456.20337836761
2006-01-26,65818.63421513494
2006-01-27,67309.00848131653
2006-01-30,63728.16378563176
2006-01-31,66161.5187661121
2006-02-01,67035.73123238256
2006-02-02,64434.66673859321
2006-02-03,63061.37328864221
2006-02-06,62460.47451399742
2006-02-07,66922.94639866208
2006-02-08,68780.694454238
2006-02-09,67606.79476743369
2006-02-10,66471.0685852739
2006-02-13,63375.99885235473
2006-02-14,66830.79925639494
2006-02-15,67900.97788203985
2006-02-16,69240.31292586276
2006-02-17,69858.24135783501
2006-02-21,69200.05670880456
2006-02-22,71605.71258601568
2006-02-23,77210.52423856956
2006-02-24,79894.398028891
2006-02-27,81546.63834721033
2006-02-28,79969.54066545467
2006-03-01,81364.04047822152
2006-03-02,81186.37590446528
2006-03-03,80895.81360759892
2006-03-06,80266.90009090694
2006-03-07,74205.07696111982
2006-03-08,75097.50205639633
2006-03-09,71854.79687418131
2006-03-10,70794.58246179459
2006-03-13,70493.7101967677
2006-03-14,71146.28752979
2006-03-15,73650.80429129275
2006-03-16,73959.15167329446
2006-03-17,75402.02370689217
2006-03-20,74907.45043432032
2006-03-21,71892.59407793108
2006-03-22,71760.24776171717
2006-03-23,69335.59409605422
2006-03-24,69866.6939886483
2006-03-27,68674.5661227837
2006-03-28,67815.25561885495
2006-03-29,69122.12228893241
2006-03-30,68352.20506055566
2006-03-31,70077.378477162
2006-04-03,69097.7817134601
2006-04-04,69800.84887794867
2006-04-05,69840.73202661675
2006-04-06,66333.40236395872
2006-04-07,64441.12368944339
2006-04-10,66305.52417285733
2006-04-11,64996.116597778215
2006-04-12,68127.92241542219
2006-04-13,68879.13185989177
2006-04-17,68531.44793273415
2006-04-18,70755.05091584881
2006-04-19,73374.8315108131
2006-04-20,73105.2976796357
2006-04-21,73003.99332594413
2006-04-24,73163.16575716823
2006-04-25,73136.90525019227
2006-04-26,72219.76790827625
2006-04-27,73367.90426607132
2006-04-28,72721.60389302063
2006-05-01,74830.56686208719
2006-05-02,73829.3715943221
2006-05-03,74063.40884516208
2006-05-04,73115.51611395286
2006-05-05,74854.12538622494
2006-05-08,76060.15060361901
2006-05-09,76592.14290599502
2006-05-10,75950.48071847312
2006-05-11,74266.46882155711
2006-05-12,73592.50603260007
2006-05-15,70694.87286453217
2006-05-16,70830.84262165622
2006-05-17,70045.62279258118
2006-05-18,70855.4232710353
2006-05-19,73250.33318502002
2006-05-22,69267.44680865743
2006-05-23,68761.87677458655
2006-05-24,66343.24547652555
2006-05-25,70457.65257034064
2006-05-26,69602.01707756477
2006-05-30,68315.79695253354
2006-05-31,69105.86224569108
2006-06-01,70181.92775853859
2006-06-02,69176.90083784443
2006-06-05,67674.64856262051
2006-06-06,67041.21712894816
2006-06-07,67249.00448128044
2006-06-08,66569.61459491779
2006-06-09,66110.98060328611
2006-06-12,64612.01822589234
2006-06-13,63161.637161526756
2006-06-14,63114.40285045286
2006-06-15,66785.16817467228
2006-06-16,67086.79761035366
2006-06-19,67051.61318289969
2006-06-20,66271.01515844105
2006-06-21,67036.43422755675
2006-06-22,68825.42574164545
2006-06-23,69108.35418753071
2006-06-26,69108.35418753071
2006-06-27,67984.66829747715
2006-06-28,68626.54345648878
2006-06-29,68242.53570481279
2006-06-30,69140.48170539759
2006-07-03,70712.99706810532
2006-07-05,73498.76326904385
2006-07-06,72589.4002960095
2006-07-07,71629.45216416058
2006-07-10,71093.17412704909
2006-07-11,70571.25700805633
2006-07-12,71750.2030505916
2006-07-13,69471.18580395545
2006-07-14,67986.39688099716
2006-07-17,68271.67294553436
2006-07-18,68449.58065604276
2006-07-19,68351.55972143807
2006-07-20,67235.0892865421
2006-07-21,66535.46918905199
2006-07-24,66883.57516695576
2006-07-25,67047.74471054283
2006-07-26,66956.31263036902
2006-07-27,66605.53915504832
2006-07-28,68790.39493416097
2006-07-31,69627.37663654798
2006-08-01,67750.67521427262
2006-08-02,68051.21013368461
2006-08-03,66945.17604403579
2006-08-04,64798.627386462256
2006-08-07,63640.976469174304
2006-08-08,63839.39228509724
2006-08-09,62763.19535226383
2006-08-10,62716.82962881201
2006-08-11,61691.43590326421
2006-08-14,62868.828643268556
2006-08-15,66694.39383197956
2006-08-16,67672.34447535245
2006-08-17,68053.24733473647
2006-08-18,68496.36723477728
2006-08-21,68345.17843932385
2006-08-22,67920.97195977587
2006-08-23,66592.86699959538
2006-08-24,65136.46676706615
2006-08-25,65676.42615917273
2006-08-28,67267.73853126871
2006-08-29,67393.14342458495
2006-08-30,67095.02260124998
2006-08-31,67680.48245486198
2006-09-01,69994.98329204298
2006-09-05,70624.2034167178
2006-09-06,67925.46396547121
2006-09-07,67908.77570619897
2006-09-08,70818.78242482488
2006-09-11,74405.42745646839
2006-09-12,74268.3168169271
2006-09-13,75709.8349916394
2006-09-14,78451.70932767025
2006-09-15,80515.68247775936
2006-09-18,79357.5761788976
2006-09-19,77848.24793030732
2006-09-20,78944.45226021858
2006-09-21,78928.72489503847
2006-09-22,78975.89337379216
2006-09-25,83376.84727802932
2006-09-26,83893.23994842409
2006-09-27,82282.15396765983
2006-09-28,84997.36589230441
2006-09-29,84880.66248661358
2006-10-02,83484.55771949588
2006-10-03,84968.22977051392
2006-10-04,85652.66850046051
2006-10-05,84272.22142026125
2006-10-06,85155.57762919457
2006-10-09,82998.35503691518
2006-10-10,82832.81074292738
2006-10-11,83630.21073644678
2006-10-12,83157.27502875077
2006-10-13,83966.26902984305
2006-10-16,83915.83160154459
2006-10-17,81115.34481368047
2006-10-18,76471.64334041171
2006-10-19,76710.10039820427
2006-10-20,76561.0171500359
2006-10-23,78293.35958924492
2006-10-24,81658.30980469863
2006-10-25,80780.58385049413
2006-10-26,81988.99175754772
2006-10-27,77048.98435067461
2006-10-30,76188.95063690521
2006-10-31,77598.40318877573
2006-11-01,77079.85373129626
2006-11-02,77323.22535410385
2006-11-03,76403.9149919416
2006-11-06,79290.82787071148
2006-11-07,81676.48329447355
2006-11-08,82763.8695467007
2006-11-09,79110.49402767814
2006-11-10,81851.9591834345
2006-11-13,81175.64362654452
2006-11-14,81639.95355570978
2006-11-15,79228.3170162113
2006-11-16,80686.32195195823
2006-11-17,80752.32018146043
2006-11-20,82234.91695314964
2006-11-21,82601.41293006428
2006-11-22,83072.02231759146
2006-11-24,82297.60355136503
2006-11-27,78383.483962092
2006-11-28,78650.48653271377
2006-11-29,79716.34296407423
2006-11-30,80082.43428951531
2006-12-01,78503.53378834912
2006-12-04,80469.21629151524
2006-12-05,80803.92051697153
2006-12-06,81220.32408045979
2006-12-07,86152.28787082987
2006-12-08,86647.60894853095
2006-12-11,87389.18919131195
2006-12-12,87413.8419233557
2006-12-13,88117.0606904075
2006-12-14,89261.68890214099
2006-12-15,89860.76600279436
2006-12-18,88244.79852760141
2006-12-19,89479.14322256054
2006-12-20,88264.57184477717
2006-12-21,87015.2523846129
2006-12-22,86062.40410560653
2006-12-26,85985.20113898521
2006-12-27,87122.62953744407
2006-12-28,86618.16779098882
2006-12-29,86146.97972391444
2007-01-03,86787.17769268535
2007-01-04,87656.05734534355
2007-01-05,85355.08195476184
2007-01-08,85795.60109194039
2007-01-09,87817.55919831555
2007-01-10,87761.04080718635
2007-01-11,87761.04080718635
2007-01-12,87994.86470652986
2007-01-16,88705.9403236275
2007-01-17,88088.61325839329
2007-01-18,84615.61019631282
2007-01-19,86739.93619649124
2007-01-22,84254.63832528106
2007-01-23,84236.19267891686
2007-01-24,87300.13204541156
2007-01-25,85965.04447958546
2007-01-26,87019.95851474899
2007-01-29,88441.63353410803
2007-01-30,89662.78448314108
2007-01-31,90233.45837789474
2007-02-01,88989.5846339192
2007-02-02,89060.38840900583
2007-02-05,90265.75624349974
2007-02-06,89374.6003967038
2007-02-07,92552.32284233105
2007-02-08,92742.02328581437
2007-02-09,91078.13572447517
2007-02-12,89812.96518585784
2007-02-13,90868.17917496803
2007-02-14,94542.49818957502
2007-02-15,94708.92941710967
2007-02-16,91963.19627410459
2007-02-20,92737.03110195267
2007-02-21,92255.79517714182
2007-02-22,92759.93050169264
2007-02-23,90770.49407233694
2007-02-26,86472.69437181139
2007-02-27,81332.35446081524
2007-02-28,81431.21817484825
2007-03-01,81265.37992380958
2007-03-02,77757.49099989561
2007-03-05,74838.2050565026
2007-03-06,75217.92125835417
2007-03-07,78418.8341110712
2007-03-08,81160.08055826375
2007-03-09,80005.33000265897
2007-03-12,79901.16550103932
2007-03-13,75922.55223502089
2007-03-14,75645.14311333596
2007-03-15,76884.10111536986
2007-03-16,77508.95101150233
2007-03-19,79309.54012071139
2007-03-20,82268.63452888164
2007-03-21,86305.79994374805
2007-03-22,84526.94756509853
2007-03-23,83733.67929417075
2007-03-26,83813.08977280954
2007-03-27,81205.35485498307
2007-03-28,79269.8648615397
2007-03-29,79442.29466718923
2007-03-30,78445.99527853532
2007-04-02,79495.35592714125
2007-04-03,81465.55928414722
2007-04-04,81327.02999104174
2007-04-05,81782.92774228161
2007-04-09,83848.37550663602
2007-04-10,83054.78600769513
2007-04-11,81859.1450747147
2007-04-12,83065.06698936368
2007-04-13,85034.1129985648
2007-04-16,84655.79442142315
2007-04-17,83615.13039026227
2007-04-18,85849.68634308358
2007-04-19,84702.80576344997
2007-04-20,85135.68754444712
2007-04-23,84732.1288533771
2007-04-24,85468.64326168607
2007-04-25,87604.93338379137
2007-04-26,84663.53962824866
2007-04-27,83511.10364734419
2007-04-30,81340.26179784574
2007-05-01,81305.0460980913
2007-05-02,85451.8456203492
2007-05-03,82606.35991181196
2007-05-04,81686.17021650766
2007-05-07,81133.06031839771
2007-05-08,79484.62420631897
2007-05-09,78923.77073786428
2007-05-10,76109.25193937872
2007-05-11,76542.87107032356
2007-05-14,75782.87456840856
2007-05-15,74416.74141493943
2007-05-16,75367.44982492195
2007-05-17,74991.90189969099
2007-05-18,75988.7707299639
2007-05-21,78201.24248212759
2007-05-22,78008.69233114268
2007-05-23,78119.28957526357
2007-05-24,76047.67614895018
2007-05-25,75104.84525353108
2007-05-29,75940.69971114089
2007-05-30,74124.16181885144
2007-05-31,74985.48673637558
2007-06-01,77226.67950950215
2007-06-04,77372.89172877364
2007-06-05,79474.36649937363
2007-06-06,77999.73968391703
2007-06-07,75807.31148412242
2007-06-08,76494.5234835562
2007-06-11,77785.21673098067
2007-06-12,76474.85499710038
2007-06-13,79248.38058385861
2007-06-14,80291.08213770392
2007-06-15,81244.29631014504
2007-06-18,81067.76173568926
2007-06-19,82170.98116008297
2007-06-20,80927.49517562194
2007-06-21,84308.58225874741
2007-06-22,83338.12252824352
2007-06-25,82345.5980130063
2007-06-26,81777.04037728082
2007-06-27,84268.97564845727
2007-06-28,83874.05296213488
2007-06-29,84076.11990143574
2007-07-02,86509.49204743493
2007-07-03,86469.78868496105
2007-07-05,87184.96761158649
2007-07-06,89074.72374585345
2007-07-09,91263.95466228324
2007-07-10,90458.26959055506
2007-07-11,91244.30225876789
2007-07-12,92672.66861166846
2007-07-13,92151.13468247597
2007-07-16,90650.9275903006
2007-07-17,92692.6254125637
2007-07-18,92172.47236946791
2007-07-19,93781.53904042912
2007-07-20,141466.22496604692
2007-07-23,144404.66198785338
2007-07-24,142932.00843128702
2007-07-25,142025.2514009485
