,equity
2005-05-02,50000.0
2005-05-03,49997.14511995322
2005-05-04,49994.29040291323
2005-05-05,49991.435848870744
2005-05-06,49988.58145781644
2005-05-09,49985.72722974102
2005-05-10,49982.87316463518
2005-05-11,49980.01926248961
2005-05-12,49977.165523295
2005-05-13,49974.31194704206
2005-05-16,49971.458533721474
2005-05-17,49968.605283323945
2005-05-18,49965.75219584017
2005-05-19,49962.899271260845
2005-05-20,49960.04650957667
2005-05-23,49957.19391077834
2005-05-24,49954.341474856556
2005-05-25,49951.48920180202
2005-05-26,49948.63709160543
2005-05-27,49945.78514425749
2005-05-31,49942.93335974891
2005-06-01,49940.08173807038
2005-06-02,49937.23027921261
2005-06-03,49934.378983166294
2005-06-06,49931.527849922146
2005-06-07,49928.67687947086
2005-06-08,49925.82607180315
2005-06-09,49922.975426909725
2005-06-10,49920.12494478128
2005-06-13,49917.27462540853
2005-06-14,49914.42446878217
2005-06-15,49911.57447489292
2005-06-16,49908.72464373148
2005-06-17,49905.87497528857
2005-06-20,49903.02546955489
2005-06-21,49900.176126521146
2005-06-22,49897.32694617806
2005-06-23,49894.47792851633
2005-06-24,49891.629073526674
2005-06-27,49888.7803811998
2005-06-28,49885.93185152643
2005-06-29,49883.08348449727
2005-06-30,49880.235280103036
2005-07-01,49877.387238334435
2005-07-05,49874.539359182185
2005-07-06,49871.69164263701
2005-07-07,49868.84408868961
2005-07-08,49865.99669733072
2005-07-11,49863.14946855103
2005-07-12,49860.30240234129
2005-07-13,49857.45549869219
2005-07-14,49854.608757594455
2005-07-15,49851.762179038815
2005-07-18,49848.915763015975
2005-07-19,49846.06950951667
2005-07-20,49843.223418531605
2005-07-21,49840.377490051505
2005-07-22,49837.5317240671
2005-07-25,49834.6861205691
2005-07-26,49831.84067954824
2005-07-27,49828.99540099523
2005-07-28,49826.150284900796
2005-07-29,49823.305331255666
2005-08-01,49820.46054005057
2005-08-02,49817.615911276225
2005-08-03,49814.77144492336
2005-08-04,49811.9271409827
2005-08-05,49809.08299944497
2005-08-08,49806.23902030089
2005-08-09,49803.39520354121
2005-08-10,49800.55154915663
2005-08-11,49797.708057137905
2005-08-12,49794.864727475746
2005-08-15,49792.021560160894
2005-08-16,49789.17855518407
2005-08-17,49786.33571253601
2005-08-18,49783.49303220745
2005-08-19,49780.65051418912
2005-08-22,49777.808158471744
2005-08-23,49774.96596504606
2005-08-24,49772.1239339028
2005-08-25,49769.282065032705
2005-08-26,49766.4403584265
2005-08-29,49763.59881407493
2005-08-30,49760.75743196873
2005-08-31,49757.91621209862
2005-09-01,49755.07515445536
2005-09-02,49752.23425902967
2005-09-06,49749.39352581229
2005-09-07,49746.55295479396
2005-09-08,49743.71254596542
2005-09-09,49740.872299317416
2005-09-12,49738.03221484068
2005-09-13,49735.19229252595
2005-09-14,49732.35253236398
2005-09-15,49729.51293434549
