date,holdings,n,equity,cash
2005-11-30,,0,10000.0,10000.0
2006-01-31,ISRG:654.12@15.25,1,9986.752648390235,9.996729404309008
2006-02-28,VRTX:151.28@43.24,1,6548.051100463563,6.554592596970906
2006-03-31,VRTX:151.28@36.59,1,5542.016137991018,6.554592596970906
2006-05-31,TCOM:880.69@5.91,1,5209.836300506881,5.215040921766558
2006-06-30,TCOM:880.69@6.30,1,5555.067282410763,5.215040921766558
2006-07-31,GRMN:216.96@25.28,1,5490.998839582266,5.496484341937503
2006-08-31,LBTYA:1051.30@5.12,1,5388.791850959005,5.394175248634383
2006-10-31,AKAM:127.27@46.86,1,5969.909835056975,5.975873769019017
2006-11-30,CSCO:359.56@17.25,1,6210.309690957025,6.216513784134804
2007-01-31,WYNN:96.09@63.71,1,6128.144847156889,6.134266857737202
2007-02-28,WYNN:96.09@55.89,1,5376.449977635504,6.134266857737202
2007-04-30,ISRG:387.75@14.41,1,5591.712601145654,5.597298716447767
2007-05-31,ISRG:387.75@15.29,1,5935.101305755437,5.597298716447767
2007-07-31,ISRG:387.75@23.62,1,9165.459974425905,5.597298716447767
2007-08-31,ISRG:387.75@24.59,1,9538.976617549893,5.597298716447767
2007-10-31,ISRG:387.75@36.32,1,14088.101459716676,5.597298716447767
2007-11-30,ISRG:387.75@36.41,1,14123.037460490548,5.597298716447767
2007-12-31,ISRG:387.75@35.89,1,13921.409043149662,5.597298716447767
2008-01-31,ISRG:387.75@28.22,1,10948.669452327817,5.597298716447767
2008-02-29,STLD:627.53@19.30,1,12121.80438602486,12.133914056495996
2008-03-31,STLD:627.53@21.92,1,13767.184384237109,12.133914056495996
2008-04-30,STLD:627.53@23.12,1,14520.720731244459,12.133914056495996
2008-06-30,BBBY:739.07@22.00,1,16278.50608762873,16.29476829894884
2008-07-31,BBBY:739.07@15.06,1,11146.081687603566,16.29476829894884
2008-09-30,AMGN:311.32@39.79,1,12400.218135528592,12.412605941059155
2008-10-31,AMGN:311.32@40.21,1,12529.791568988112,12.412605941059155
2008-12-31,RYAAY:1278.84@9.41,1,12050.065217022835,12.062103220136123
2009-03-31,JAVA:1396.77@6.83,1,9545.742612312388,9.55527879964393
2009-04-30,JAVA:1396.77@8.54,1,11942.744513948646,9.55527879964393
2009-06-30,STX:2215.34@5.40,1,11978.360014019696,11.990326383705906
2009-07-31,ISRG:543.60@25.26,1,13743.805420040238,13.757535467922935
2009-08-31,ISRG:543.60@24.75,1,13465.321010025653,13.757535467922935
2009-09-30,FLEX:2804.81@5.63,1,15804.65640331524,15.820445239272885
2009-11-30,BKNG:1775.52@8.39,1,14905.670221249375,14.920560970909719
2009-12-31,BKNG:1775.52@8.55,1,15203.957502650497,14.920560970909719
2010-03-31,BIDU:296.22@59.70,1,17701.890919313755,17.7195750906576
2010-04-30,BIDU:296.22@68.90,1,20425.904984330096,17.7195750906576
2010-06-30,BIDU:296.22@68.08,1,20184.191687564835,17.7195750906576
2010-08-31,INTU:618.99@37.44,1,23198.362584620194,23.221537725668895
2010-09-30,BKNG:1736.68@13.64,1,23718.616593802886,23.742311468085973
2010-11-30,BKNG:1736.68@15.43,1,26827.78950953487,23.742311468085973
2010-12-31,FLEX:4579.08@5.92,1,27115.15521787826,27.142243230857275
2011-01-31,WYNN:342.96@80.15,1,27517.051642508774,27.54454114960754
2011-02-28,MU:2669.57@10.85,1,29002.703062598594,29.031676733986387
2011-03-31,MU:2669.57@11.18,1,29887.666351590335,29.031676733986387
2011-05-31,EA:1117.91@23.69,1,26508.515161507396,26.534997141672648
2011-06-30,BIIB:238.92@106.92,1,25570.89944136985,25.596444744365726
2011-08-31,DLTR:628.85@35.72,1,22481.870660015957,22.504330026345997
2011-09-30,DLTR:628.85@37.57,1,23648.386816872477,22.504330026345997
2011-10-31,DLTR:628.85@39.98,1,25163.914546265583,22.504330026345997
2011-11-30,ORLY:4959.70@5.15,1,25565.063873806495,25.590603347078286
2012-01-31,STX:2375.58@11.31,1,26884.53733099473,26.91139495693278
2012-02-29,STX:2375.58@14.18,1,33710.774373124324,26.91139495693278
2012-04-30,STX:2375.58@16.75,1,39819.11030715176,26.91139495693278
2012-05-31,VRTX:503.50@60.04,1,30260.5625518642,30.290792823623633
2012-07-31,BBBY:3573.39@6.82,1,24385.250164524834,24.40961100507775
2012-08-31,BBBY:3573.39@7.42,1,26536.428198822705,24.40961100507775
2012-10-31,BBBY:3573.39@12.80,1,45776.60741820815,24.40961100507775
2012-11-30,BBBY:3573.39@12.86,1,45988.50917474281,24.40961100507775
2012-12-31,BBBY:3573.39@12.13,1,43382.79651259993,24.40961100507775
2013-01-31,BBBY:3573.39@11.40,1,40746.71007422528,24.40961100507775
2013-02-28,MU:4293.59@8.17,1,35121.06206242641,35.15614796833688
2013-04-30,MU:4293.59@9.19,1,39475.18876652127,35.15614796833688
2013-05-31,BBBY:2218.40@21.98,1,48805.10677908801,48.853863032003574
2013-07-31,BBBY:2218.40@28.84,1,64022.67645655192,48.853863032003574
2013-09-30,META:1118.10@49.79,1,55728.874535534174,55.78454762551701
2013-10-31,META:1118.10@49.77,1,55706.73620638631,55.78454762551701
2013-12-31,MU:2848.98@21.21,1,60485.230175941455,60.5456548604634
2014-01-31,ILMN:431.89@147.86,1,63922.730420766435,63.98658916459681
2014-02-28,ILMN:431.89@166.82,1,72110.95925124787,63.98658916459681
