date,holdings,n,equity,cash
2005-11-30,,0,10000.0,10000.0
2006-01-31,ISRG:326.99@15.25 | VRTX:139.84@35.72,2,9987.382643935274,4.997365029214961
2006-02-28,AKAM:175.44@26.50 | VRTX:107.81@43.24,2,9315.64811146094,4.658434371682233
2006-03-31,AKAM:147.76@32.89 | VRTX:132.69@36.59,2,9715.890445636851,0.9120282373735336
2006-05-31,AKAM:147.76@31.29 | TCOM:771.61@5.91,2,9188.006310634239,4.569114018236178
2006-06-30,AKAM:141.12@36.19 | TCOM:810.02@6.30,2,10212.018007306677,0.24254990942498011
2006-07-31,AKAM:134.42@39.63 | TCOM:852.14@6.25,2,10651.446713770427,0.26369464195914816
2006-08-31,AKAM:134.42@39.20 | TCOM:852.14@6.37,2,10700.420449037736,0.26369464195914816
2006-10-31,AKAM:122.11@46.86 | ORCL:389.27@14.66,2,11434.509985239274,5.718337772058476
2006-11-30,AKAM:122.11@48.87 | ORCL:389.27@15.12,2,11859.160781952809,5.718337772058476
2007-01-31,EXPE:214.89@28.25 | WYNN:95.15@63.71,2,12138.040047222912,6.074048791927453
2007-02-28,RYAAY:389.32@14.52 | WYNN:101.38@55.89,2,11323.719351168631,5.663386611503483
2007-04-30,RYAAY:389.32@15.11 | WYNN:101.38@58.27,2,11795.30261983443,5.663386611503483
2007-05-31,LBTYA:644.93@8.33 | PCAR:258.89@20.79,2,10757.829621717081,5.382031499033474
2007-07-31,LBTYA:600.14@9.09 | PCAR:279.90@19.49,2,10912.689680037991,0.41022809948680106
2007-08-31,GRMN:99.78@55.19 | ISRG:224.28@24.59,2,11026.298186598584,5.51759879139081
2007-10-31,GRMN:119.81@58.21 | ISRG:192.17@36.32,2,13954.391928618392,1.1684000970531088
2007-11-30,ISRG:192.17@36.41 | TCOM:466.55@14.89,2,13950.995387891944,6.9612473192719335
2007-12-31,ISRG:192.17@35.89 | TCOM:466.55@14.24,2,13545.94584669506,6.9612473192719335
2008-01-31,ISRG:192.17@28.22 | TCOM:466.55@11.31,2,10707.66264582228,6.9612473192719335
2008-02-29,ISRG:207.86@31.32 | STLD:336.62@19.30,2,13013.55064472546,6.508927485371714
2008-03-31,ISRG:207.86@36.04 | STLD:336.62@21.92,2,14876.132991427865,6.508927485371714
2008-04-30,CHRW:172.07@41.92 | STLD:312.76@23.12,2,14452.19424012463,7.228418580276411
2008-06-30,BBBY:327.78@22.00 | STLD:278.25@25.98,2,14449.739758414398,7.226692888648358
2008-07-31,BBBY:358.34@15.06 | VRTX:156.34@34.50,2,10790.618051094913,0.4612007585097331
2008-09-30,BBBY:333.88@16.80 | VRTX:168.62@33.24,2,11213.661811384201,0.40897203293963
2008-10-31,AMGN:98.33@40.21 | VRTX:151.24@26.21,2,7921.536121750571,3.9615092837443626
2008-12-31,AMGN:108.29@38.77 | RYAAY:446.01@9.41,2,8397.368832380249,0.3870403763305035
2009-03-31,AKAM:178.21@19.40 | RYAAY:463.33@7.48,2,6926.809035424063,3.464197951839651
2009-04-30,AKAM:182.03@22.02 | MRVL:428.80@9.35,2,8015.958717993988,0.0843448797748465
2009-06-30,BIDU:128.22@30.11 | JAVA:448.10@8.60,2,7717.689862443686,3.8610816025857275
2009-07-31,BIDU:119.12@34.81 | STX:664.89@6.22,2,8284.98165392379,4.1422320063693405
2009-08-31,STX:607.23@7.15 | WYNN:133.91@32.35,2,8679.268195895555,4.34058333457142
2009-09-30,EXPE:165.08@31.54 | WYNN:123.20@42.36,2,10431.269030149226,5.217003767665119
2009-11-30,BKNG:630.01@8.39 | STX:674.75@7.81,2,10560.9803328787,5.282506104654203
2009-12-31,BKNG:685.12@8.55 | WYNN:158.24@36.96,2,11714.675164673654,5.859497195827316
2010-03-31,BIDU:120.94@59.70 | BKNG:723.36@9.99,2,14445.558179496784,0.3827040341046768
2010-04-30,BIDU:114.36@68.90 | BKNG:767.28@10.26,2,15754.634553644719,0.4517001848328732
2010-06-30,BBBY:425.77@15.32 | BIDU:96.08@68.08,2,13071.102283751825,6.536607481230931
2010-08-31,BIDU:80.28@78.43 | WYNN:122.03@51.46,2,12582.859229685298,6.292931663640047
2010-09-30,BIDU:73.07@102.62 | NTAP:205.29@36.44,2,14986.472664525125,7.495582669052055
2010-11-30,BIDU:73.07@105.05 | BKNG:494.54@15.43,2,15316.291022565481,7.647994758490313
2010-12-31,BKNG:472.60@15.65 | FFIV:56.69@130.16,2,14782.31639072682,7.393669426387532
2011-01-31,BKNG:419.55@16.78 | FFIV:64.93@108.38,2,14080.031114530928,0.8948326324002664
2011-02-28,ILMN:111.57@67.51 | MU:695.10@10.85,2,15083.787965529871,7.547194353865052
2011-03-31,MU:695.10@11.18 | WYNN:86.60@87.62,2,15369.51348455088,7.602549562280728
2011-05-31,MU:788.04@9.95 | VRTX:145.10@53.99,2,15673.182595799295,0.926230760164799
2011-06-30,BIIB:62.01@106.92 | EA:289.11@22.90,2,13258.336005479134,6.6345710908244655
2011-08-31,BIIB:64.60@94.20 | EXPE:150.91@40.30,2,12167.049829940783,0.2441014524759737
2011-09-30,BIIB:60.03@93.15 | EXPE:163.25@34.24,2,11181.417426243213,0.4230387410750609
2011-10-31,AMZN:591.88@10.68 | DLTR:158.30@39.98,2,12653.81493992261,6.331251514914584
2011-11-30,DLTR:148.95@40.74 | FAST:841.87@7.19,2,12126.371933139751,6.063410382002985
2012-01-31,FAST:811.40@8.09 | STX:578.75@11.31,2,13110.255677689112,6.556323413370592
2012-02-29,FAST:855.38@9.12 | STX:550.69@14.18,2,15613.777197285224,0.40212122701683484
2012-04-30,MNST:744.50@10.83 | STX:482.81@16.75,2,16160.812389330498,8.081487763243786
2012-05-31,MNST:627.13@12.10 | STX:594.25@12.76,2,15171.760071570836,1.424665199582705
2012-07-31,EXPE:160.38@51.84 | MNST:751.39@11.07,2,16633.660113251426,1.3782933593897724
2012-08-31,BBBY:990.85@7.42 | EXPE:160.38@46.84,2,14870.379064772638,7.366115652583176
2012-10-31,BBBY:833.54@12.80 | EXPE:197.70@53.94,2,21338.60978371452,2.0173311256126
2012-11-30,BBBY:850.60@12.86 | GILD:424.83@25.74,2,21875.249698888452,0.2198506574457042
2012-12-31,BBBY:850.60@12.13 | GILD:424.83@25.20,2,21029.02365119656,0.2198506574457042
2013-01-31,BBBY:928.65@11.40 | TCOM:1073.38@9.86,2,21164.200462000503,0.8911986954952908
2013-02-28,BBBY:986.00@9.85 | GILD:331.14@29.32,2,19424.363327073137,0.5662091158700377
2013-04-30,GILD:415.34@34.76 | MU:1567.69@9.19,2,28850.115190306766,14.429301768777805
2013-05-31,MU:1465.44@11.39 | VRTX:207.32@80.33,2,33361.60628372096,16.687504966470442
2013-07-31,MU:1374.08@12.91 | VRTX:222.24@79.80,2,35476.532364260216,1.1929650352310546
2013-09-30,MU:1181.10@17.04 | TSLA:1556.73@12.89,2,40209.08842436405,20.108481060760823
2013-10-31,TCOM:683.75@27.00 | TSLA:1732.13@10.66,2,36929.86562462825,1.8739174678369181
2013-12-31,BIDU:96.06@177.88 | META:315.03@54.17,2,34170.34095462782,17.10095951022231
2014-01-31,ILMN:116.57@147.86 | MU:768.17@22.47,2,34512.48878783427,17.27107157502178
2014-02-28,ILMN:112.65@166.82 | MU:796.49@23.59,2,37580.71700778554,0.6692748671899835
2014-03-31,ILMN:119.75@144.61 | NXPI:333.97@51.82,2,34623.274883780745,1.0291740464122086
2014-04-30,ILMN:126.22@132.15 | NXPI:317.62@52.53,2,33365.648287996475,0.856635739369608
2014-06-30,ILMN:116.43@173.68 | NXPI:346.67@58.31,2,40437.65068879807,1.6972686178164622
2014-07-31,MU:621.52@29.79 | TCOM:581.91@31.86,2,37073.69217674191,18.552365080198797
2014-09-30,GILD:254.15@73.06 | INTC:698.66@26.54,2,37130.83067431419,18.581589437715593
2014-10-31,MNST:1117.75@16.81 | VRTX:166.62@112.64,2,37579.722791427055,18.805347467980027
2014-12-31,BBBY:959.58@20.58 | MNST:1117.75@18.06,2,39951.77323306003,19.78677292075372
2015-03-31,AAL:452.79@50.11 | MNST:985.94@23.07,2,45453.93161904829,22.735105313968234
2015-04-30,EA:383.25@56.37 | NXPI:255.40@84.69,2,43256.69799971565,21.648369898684905
2015-06-30,NFLX:2486.81@9.38 | TCOM:646.95@36.13,2,46738.79999322099,23.384923303474352
2015-07-31,NFLX:2252.32@11.43 | TCOM:722.58@35.62,2,51484.850194404324,2.6988713654591265
2015-08-31,NFLX:2164.76@11.50 | TCOM:752.96@33.06,2,49798.51671732891,1.0067855816232623
2015-09-30,AMZN:896.57@25.59 | NFLX:2227.19@10.33,2,45968.14846413486,22.99312871291113
2015-11-30,AMZN:861.21@33.24 | GOOGL:755.50@37.81,2,57218.532493529536,28.6205522536402
2015-12-31,AMZN:861.21@33.79 | GOOGL:755.50@38.56,2,58263.67837717335,28.6205522536402
2016-02-29,MAT:839.22@30.13 | MSFT:565.23@44.67,2,50557.19294521796,25.30035130237229
2016-03-31,AMAT:1412.48@18.91 | MAT:859.52@31.14,2,53504.63524282648,26.761956724007177
2016-05-31,MAT:946.67@29.90 | ULTA:121.24@233.01,2,56583.492615167896,28.306174127465056
2016-06-30,BBBY:2077.10@13.76 | ULTA:117.62@243.64,2,57274.132073918314,28.645214306237904
2016-08-31,NTES:793.07@35.49 | ULTA:114.10@247.21,2,56379.09605000379,28.20068970671855
2016-09-30,MU:1700.91@17.34 | NTES:733.32@40.31,2,59080.83860180486,29.549169462228747
2016-10-31,MU:1793.70@16.73 | NTES:697.76@43.03,2,60037.599166545,1.5558540553524836
2016-11-30,MU:1585.70@19.04 | STX:1119.89@26.90,2,60356.69526647481,30.18803893931181
2017-01-31,MU:1525.85@23.51 | WDC:665.99@53.75,2,71705.63260188812,35.867821271422144
2017-02-28,CSX:2427.29@14.28 | WDC:665.99@51.83,2,69338.62134613401,163.91395481214568
2017-03-31,CSX:2579.63@13.69 | INCY:263.93@133.67,2,70590.70170933433,2.08935165607636
2017-05-31,CSX:2356.28@15.99 | TSLA:1653.15@22.73,2,75291.26590819538,37.65787945554621
