trade_id,symbol,entry_date,exit_date,hold_days,shares,entry_px,exit_px,entry_mkt_px,exit_mkt_px,gross_pnl,entry_fees,exit_fees,total_fees,net_pnl,return_pct,reason_entry,reason_exit,status
1,ISRG,2006-01-31,2006-02-28,28,654.1191381561955,15.2674522,10.0121778,10.0222,10.0222,-3437.575561302317,3.2705956907809774,3.5612460354730584,6.831841726254035,-3444.4074030285715,-0.3442142363478302,entry_new,exit_rank_or_left_ndx,CLOSED
2,VRTX,2006-02-28,2006-05-31,92,151.28345300339018,43.28324,34.4655,34.5,34.5,-1333.9781548861138,1.0,1.1700639170143388,2.170063917014339,-1336.1482188031282,-0.20372181010478885,entry_new,exit_rank_or_left_ndx,CLOSED
3,TCOM,2006-05-31,2006-07-31,61,880.6912803670432,5.915609699999999,6.241752,5.915609699999999,6.248,287.230679768853,4.403456401835216,4.702469326761202,9.105925728596418,278.12475404025656,0.055132491245999615,entry_new,exit_rank_or_left_ndx,CLOSED
4,GRMN,2006-07-31,2006-08-31,31,216.95805421043315,25.308983699999995,24.8675076,24.892400000000002,24.8924,-95.78179563640965,1.0847902710521657,1.270792036573562,2.3555823076257276,-98.13737794403539,-0.01744345427825278,entry_new,exit_rank_or_left_ndx,CLOSED
5,LBTYA,2006-08-31,2006-10-31,61,1051.3011259613668,5.125820699999999,5.6854089,5.125820699999999,5.6911,588.2957047346948,5.256505629806834,5.597184351148178,10.85368998095501,577.4420147537398,0.10917045927884295,entry_new,exit_rank_or_left_ndx,CLOSED
6,AKAM,2006-10-31,2006-11-30,30,127.27131799590174,46.906859999999995,48.82113,46.906859999999995,48.87,243.63166590001507,1.0,1.1938631605872692,2.193863160587269,241.4378027394278,0.04081002224408126,entry_new,exit_rank_or_left_ndx,CLOSED
7,CSCO,2006-11-30,2007-01-31,62,359.55752469880207,17.272054799999996,17.0517312,17.0688,17.0688,-79.21900824872785,1.7977876234940104,2.0279181482804285,3.825705771774439,-83.0447140205023,-0.012756073469613827,entry_new,exit_rank_or_left_ndx,CLOSED
8,WYNN,2007-01-31,2007-04-30,89,96.09394305163121,63.77230859999999,58.216725,58.275000000000006,58.275,-533.8579340769755,1.0,1.1714724300056796,2.1714724300056796,-536.0294065069812,-0.0871159241677506,entry_new,exit_rank_or_left_ndx,CLOSED
9,ISRG,2007-04-30,2008-02-29,305,387.746956424778,14.421006599999998,31.2930756,14.421006599999998,31.3244,6542.0934033388485,1.9387347821238898,2.3404202729161625,4.279155055040052,6537.814248283808,1.1699647235443331,entry_new,exit_rank_or_left_ndx,CLOSED
10,STLD,2008-02-29,2008-06-30,122,627.5286034371659,19.3166974,25.959015,19.3166974,25.985,4168.244287114108,3.1376430171858294,3.6946754444980128,6.832318461683842,4161.411968652425,0.34386403961579903,entry_new,exit_rank_or_left_ndx,CLOSED
11,BBBY,2008-06-30,2008-09-30,92,739.0738436762234,22.025503499999996,16.7805027,16.7973,16.7973,-3876.442901340864,3.695369218381117,4.162831927926139,7.858201146307256,-3884.301102487171,-0.23813307150957963,entry_new,exit_rank_or_left_ndx,CLOSED
12,AMGN,2008-09-30,2008-12-31,92,311.3249242179694,39.830390599999994,38.7313299,38.7701,38.7701,-342.16498913844697,1.5566246210898471,1.943517746528237,3.500142367618084,-345.66513150606505,-0.0275935205114457,entry_new,exit_rank_or_left_ndx,CLOSED
13,RYAAY,2008-12-31,2009-03-31,90,1278.8428073134214,9.422613199999999,7.473219299999999,7.4807,7.4807,-2492.9683676356585,6.394214036567107,6.872188565011143,13.26640260157825,-2506.2347702372367,-0.20688463578235383,entry_new,exit_rank_or_left_ndx,CLOSED
14,JAVA,2009-03-31,2009-06-30,91,1396.7728580130863,6.8341273,8.5908006,6.8341273,8.5994,2453.67358583628,6.983864290065432,7.549311824061379,14.53317611412681,2439.140409722153,0.2570442754263591,entry_new,exit_rank_or_left_ndx,CLOSED
15,STX,2009-06-30,2009-07-31,31,2215.337990157729,5.407001599999999,6.2112825,5.407001599999999,6.2175,1781.7540325282519,11.076689950788646,11.826966561652712,22.90365651244136,1758.8503760158105,0.1487480417982494,entry_new,exit_rank_or_left_ndx,CLOSED
16,ISRG,2009-07-31,2009-09-30,61,543.5963498235126,25.283057799999998,29.1097611,25.283057799999998,29.1389,2080.181945737591,2.717981749117563,3.248124827802073,5.9661065769196355,2074.2158391606713,0.15135444969793177,entry_new,exit_rank_or_left_ndx,CLOSED
17,FLEX,2009-09-30,2009-11-30,61,2804.8099122567983,5.6348291999999995,5.3224722,5.3278,5.3278,-876.1020097627954,14.024049561283991,14.90466094012136,28.92871050140535,-905.0307202642008,-0.055433268500844624,entry_new,exit_rank_or_left_ndx,CLOSED
18,BKNG,2009-11-30,2010-03-31,121,1775.5195321495303,8.395086699999998,9.9778122,8.395086699999998,9.9878,2810.160039281135,8.877597660747652,9.664833155572786,18.54243081632044,2791.6176084648146,0.18852997670649452,entry_new,exit_rank_or_left_ndx,CLOSED
19,BIDU,2010-03-31,2010-08-31,153,296.2172754476231,59.759699999999995,78.35157000000001,59.759699999999995,78.43,5507.233076876404,1.4810863772381155,2.1754711078323563,3.656557485070472,5503.576519391334,0.3111104975426586,entry_new,exit_rank_or_left_ndx,CLOSED
20,INTU,2010-08-31,2010-09-30,30,618.9941518935503,37.477439999999994,38.3390226,37.477439999999994,38.3774,533.3145907732435,3.094970759467752,3.8574631243303488,6.952433883798101,526.3621568894454,0.022989366402828004,entry_new,exit_rank_or_left_ndx,CLOSED
21,BKNG,2010-09-30,2010-12-31,92,1736.677046155382,13.6574438,15.6339504,13.6574438,15.6496,3432.553643794618,8.68338523077691,9.726474834290151,18.40986006506706,3414.143783729551,0.14472009762178195,entry_new,exit_rank_or_left_ndx,CLOSED
22,FLEX,2010-12-31,2011-01-31,31,4579.081238529887,5.921515599999999,6.0150789,5.921515599999999,6.0211,428.43395164494547,22.895406192649435,24.42124394955702,47.316650142206456,381.117301502739,0.015800566327985432,entry_new,exit_rank_or_left_ndx,CLOSED
23,WYNN,2011-01-31,2011-02-28,28,342.9577876313302,80.2343542,84.6169983,80.2343542,84.7017,1503.0619245115047,1.714788938156651,2.578477558120074,4.2932664962767255,1498.7686580152279,0.05462303702321081,entry_new,exit_rank_or_left_ndx,CLOSED
24,MU,2011-02-28,2011-05-31,92,2669.572515812205,10.8641533,9.9364536,9.9464,9.9464,-2476.561622047227,13.347862579061026,14.528436736184501,27.876299315245525,-2504.4379213624725,-0.0853908882158354,entry_new,exit_rank_or_left_ndx,CLOSED
25,EA,2011-05-31,2011-06-30,30,1117.9067058565709,23.712588899999997,22.8798972,22.9028,22.9028,-930.8716353411057,5.589533529282854,6.486163058610498,12.075696587893352,-942.9473319289991,-0.035116018057395615,entry_new,exit_rank_or_left_ndx,CLOSED
26,BIIB,2011-06-30,2011-08-31,62,238.91978111322,107.02691999999999,94.1058,94.2,94.2,-3087.1111621376463,1.1945989055661002,1.8593074816529627,3.0539063872190626,-3090.1650685248655,-0.12072775709139338,entry_new,exit_rank_or_left_ndx,CLOSED
27,DLTR,2011-08-31,2011-11-30,91,628.8496802461041,35.750715,40.704254999999996,35.750715,40.745,3115.032045086284,3.1442484012305205,3.9602300933624575,7.104478494592978,3107.927566591691,0.1385577882847937,entry_new,exit_rank_or_left_ndx,CLOSED
28,ORLY,2011-11-30,2012-01-31,62,4959.6988523826885,5.1545494,5.428566,5.1545494,5.434,1359.0398165538081,24.798494261913444,26.370292932584857,51.1687871944983,1307.87102935931,0.05316014625837129,entry_new,exit_rank_or_left_ndx,CLOSED
29,STX,2012-01-31,2012-05-31,121,2375.582753481677,11.3170057,12.746141100000001,11.3170057,12.7589,3395.029408630142,11.877913767408385,13.114030965069134,24.99194473247752,3370.0374638976646,0.12628211365131703,entry_new,exit_rank_or_left_ndx,CLOSED
30,VRTX,2012-05-31,2012-07-31,61,503.5021945209956,60.10003999999999,48.46149,48.51,48.51,-5860.035466042331,2.517510972604978,3.279425307395716,5.796936280000693,-5865.832402322331,-0.19365294931584065,entry_new,exit_rank_or_left_ndx,CLOSED
31,BBBY,2012-07-31,2013-02-28,212,3573.385439033012,6.824117299999999,9.8429472,6.824117299999999,9.8528,10787.442807577485,17.86692719516506,19.43790868685043,37.304835882015496,10750.137971695469,0.4423766133093874,entry_new,exit_rank_or_left_ndx,CLOSED
32,MU,2013-02-28,2013-05-31,92,4293.587125623564,8.179871699999998,11.3782104,8.179871699999998,11.3896,13732.345865703617,21.46793562811782,23.538793878644253,45.00672950676207,13687.339136196855,0.3910010837945055,entry_new,exit_rank_or_left_ndx,CLOSED
33,BBBY,2013-05-31,2013-09-30,122,2218.4016323547535,22.0000781,25.132642200000003,22.0000781,25.1578,6949.285312895907,11.092008161773768,13.010232219340587,24.102240381114356,6925.183072514792,0.14238877179258758,entry_new,exit_rank_or_left_ndx,CLOSED
34,META,2013-09-30,2013-12-31,92,1118.0974317100429,49.8424927,54.1201257,49.8424927,54.1743,4782.810471098128,5.590487158550214,7.458313076876133,13.048800235426349,4769.761670862702,0.08582301502749679,entry_new,exit_rank_or_left_ndx,CLOSED
35,MU,2013-12-31,2014-01-31,31,2848.984616160958,21.230409199999997,22.444732799999997,21.230409199999997,22.4672,3459.589255441193,14.24492308080479,16.49551714430451,30.740440225109303,3428.848815216084,0.05719737140064174,entry_new,exit_rank_or_left_ndx,CLOSED
36,ILMN,2014-01-31,2014-06-30,150,431.8868322757004,148.0077599,173.503323,148.0077599,173.677,11011.197984344235,2.159434161378502,4.314287031098087,6.473721192476589,11004.724263151758,0.17225828643866925,entry_new,exit_rank_or_left_ndx,CLOSED
37,MU,2014-06-30,2014-09-30,92,2328.9807323868317,32.1629308,33.374791800000004,32.1629308,33.4082,2822.4009193310526,11.644903661934158,14.192387531489866,25.837291193424022,2796.5636281376287,0.03767881128544426,entry_new,exit_rank_or_left_ndx,CLOSED
38,VRTX,2014-09-30,2014-10-31,31,691.2221764415569,112.42231,112.52736,112.42231,112.64,72.61288963518946,3.456110882207785,5.733176869435232,9.189287751643016,63.423601883546446,0.0009344230695846889,entry_new,exit_rank_or_left_ndx,CLOSED
39,MNST,2014-10-31,2014-12-31,61,4619.845934215963,16.8301133,18.0402417,16.8301133,18.0583,5590.606768619262,23.099229671079815,26.183063312266174,49.28229298334599,5541.324475635915,0.07190257002013167,entry_new,exit_rank_or_left_ndx,CLOSED
40,BBBY,2014-12-31,2015-03-31,90,4043.344442986334,20.599579,20.5160634,20.5366,20.5366,-337.6823371626628,20.21672221493167,23.194024996609006,43.41074721154068,-381.0930843742035,-0.004054238195838722,entry_new,exit_rank_or_left_ndx,CLOSED
41,BIIB,2015-03-31,2015-04-30,30,196.20791957121807,422.66223999999994,373.55607000000003,373.92999999999995,373.93,-9635.019453810542,1.0,3.070162044242451,4.070162044242451,-9639.089615854786,-0.11618300702707651,entry_new,exit_rank_or_left_ndx,CLOSED
42,NFLX,2015-04-30,2015-09-30,153,9205.291166204455,7.957949999999999,10.315674000000001,7.957949999999999,10.326,21703.535909548253,46.026455831022275,50.194388324941144,96.22084415596342,21607.31506539229,0.2962727838199539,entry_new,exit_rank_or_left_ndx,CLOSED
43,AMZN,2015-09-30,2015-11-30,61,3702.8918480772068,25.620094499999997,33.20676,25.620094499999997,33.24,28092.601834038607,18.514459240386035,22.547456224327416,41.06191546471345,28051.539918573893,0.29612168292353513,entry_new,exit_rank_or_left_ndx,CLOSED
44,TCOM,2015-11-30,2016-02-29,91,2305.8195645141504,53.2994462,40.681377899999994,40.7221,40.7221,-29094.988752515816,11.529097822570753,14.51961276491544,26.04871058748619,-29121.0374631033,-0.23673920086621847,entry_new,exit_rank_or_left_ndx,CLOSED
45,MAT,2016-02-29,2016-05-31,92,3110.6085574393524,30.155825699999994,29.870099999999997,29.9,29.9,-888.7808075003394,15.553042787196762,18.65241825280132,34.205461039998085,-922.9862685403375,-0.00947497517867657,entry_new,exit_rank_or_left_ndx,CLOSED
46,BBBY,2016-05-31,2016-06-30,30,6417.0726146532415,14.471457,13.7496366,13.763400000000003,13.7634,-4631.97392153804,32.08536307326621,35.60345830564542,67.68882137891163,-4699.662742916951,-0.04987890300195752,entry_new,exit_rank_or_left_ndx,CLOSED
47,ULTA,2016-06-30,2016-08-31,62,361.6465384144207,243.88363999999996,246.96279,243.88363999999996,247.21,1113.5639387587835,1.8082326920721037,4.351174037203455,6.159406729275559,1107.404532029508,0.01262548812212283,entry_new,exit_rank_or_left_ndx,CLOSED
48,STX,2016-08-31,2016-11-30,91,4010.0409565927207,22.2660438,26.8753977,22.2660438,26.9023,18483.697922430398,20.050204782963604,23.71191776670575,43.76212254966936,18439.935799880728,0.20701270245412884,entry_new,exit_rank_or_left_ndx,CLOSED
